XData,YData1,YData2,YData3,YData4
0.4641,-0.154507107922091,-0.172069584523314,0.421979,0.499996
0.4651,-0.150461009758376,-0.167542452553442,0.421929,0.499998
0.4661,-0.14639369939768,-0.162993418451918,0.421886,0.499999
0.4671,-0.1423056961807,-0.158423020959939,0.42185,0.5
0.4681,-0.138197526842491,-0.153831806244947,0.421822,0.5
0.4691,-0.134069725340432,-0.149220327727689,0.421801,0.5
0.4701,-0.129922832678287,-0.144589145905368,0.421788,0.5
0.4711,-0.125757396726434,-0.139938828170968,0.421783,0.5
0.4721,-0.121573972038366,-0.13526994862883,0.421786,0.5
0.4731,-0.117373119663535,-0.130583087906589,0.421796,0.5
0.4741,-0.113155406956656,-0.125878832963549,0.421814,0.5
0.4751,-0.108921407383541,-0.121157776895601,0.421839,0.5
0.4761,-0.104671700323583,-0.116420518736777,0.421873,0.499999
0.4771,-0.100406870868984,-0.111667663257555,0.421913,0.499998
0.4781,-0.0961275096208271,-0.106899820759995,0.42196,0.499997
0.4791,-0.0918342124821043,-0.10211760686984,0.422015,0.499994
0.4801,-0.0875275804478104,-0.0973216423256709,0.422075,0.499991
0.4811,-0.0832082193922067,-0.0925125527652373,0.422143,0.499986
0.4821,-0.0788767398533761,-0.0876909685090694,0.422216,0.499979
0.4831,-0.0745337568151793,-0.0828575243414965,0.422295,0.49997
0.4841,-0.0701798894867327,-0.0780128592891812,0.422379,0.499958
0.4851,-0.0658157610795268,-0.0731576163972934,0.422467,0.499944
0.4861,-0.0614419985823063,-0.0682924425034442,0.42256,0.499926
0.4871,-0.0570592325338335,-0.0634179880095021,0.422656,0.499904
0.4881,-0.0526680967936641,-0.0585349066514194,0.422756,0.499877
0.4891,-0.0482692283110568,-0.0536438552671914,0.422857,0.499845
0.4901,-0.0438632668921477,-0.048745493563079,0.422961,0.499807
0.4911,-0.0394508549655177,-0.0438404838782231,0.423066,0.499763
0.4921,-0.0350326373462832,-0.0389294909477819,0.423171,0.499712
0.4931,-0.0306092609988432,-0.0340131816647225,0.423277,0.499653
0.4941,-0.0261813747984132,-0.0290922248403988,0.42338,0.499585
0.4951,-0.0217496292914824,-0.0241672909640526,0.423483,0.499508
0.4961,-0.0173146764553259,-0.0192390519613683,0.423582,0.49942
0.4971,-0.0128771694567099,-0.0143081809522202,0.423678,0.499322
0.4981,-0.00843776240992478,-0.00937535200774702,0.42377,0.499211
0.4991,-0.00399711013428112,-0.00444123990688964,0.423856,0.499088
0.5001,0.000444132088790758,0.000493480107469056,0.423935,0.49895
0.5011,0.00488530875890423,0.00542813257262621,0.424008,0.498798
0.5021,0.00932576440000301,0.0103620420503054,0.424071,0.49863
0.5031,0.0137648438036344,0.0152945333708887,0.424126,0.498445
0.5041,0.0182018922720698,0.0202249318774975,0.42417,0.498243
0.5051,0.0226362558611394,0.0251525636697843,0.424202,0.498021
0.5061,0.0270672816226367,0.0300767558472983,0.424222,0.497779
0.5071,0.0314943178461645,0.0349968367522872,0.424227,0.497516
0.5081,0.0359167143002774,0.0399121362117998,0.424218,0.49723
0.5091,0.0403338224727927,0.0448219857789518,0.424192,0.496921
0.5101,0.044744995810127,0.0497257189732211,0.424148,0.496587
0.5111,0.049149589955532,0.0546226715196376,0.424086,0.496227
0.5121,0.0535469629860885,0.0595121815867326,0.424004,0.49584
0.5131,0.0579364756483308,0.0643935900231172,0.4239,0.495424
0.5141,0.0623174915923685,0.0692662405925561,0.423774,0.494978
0.5151,0.0666893776043752,0.0741294802074087,0.423623,0.494501
0.5161,0.0710515038373157,0.0789826591603055,0.423447,0.493992
0.5171,0.0754032440397836,0.0838251313539352,0.423244,0.493449
0.5181,0.0797439757828233,0.0886562545288139,0.423013,0.49287
0.5191,0.0840730806846125,0.0934753904889134,0.422753,0.492256
0.5201,0.0883899446328823,0.0982819053250248,0.422461,0.491602
0.5211,0.0926939580049519,0.103075169635736,0.422138,0.49091
0.5221,0.096984515885263,0.107854558745907,0.42178,0.490177
0.5231,0.101261018280291,0.112619452922519,0.421386,0.489402
0.5241,0.105522870330726,0.117369237587791,0.420957,0.488583
0.5251,0.109769482520798,0.122103303529442,0.420488,0.487719
0.5261,0.114000270884654,0.126821047107995,0.41998,0.486809
0.5271,0.118214657209656,0.131521870461012,0.419431,0.48585
0.5281,0.122412069236517,0.13620518170415,0.418839,0.484843
0.5291,0.126591940856152,0.140870395128943,0.418203,0.483785
0.5301,0.130753712303156,0.145516931397197,0.417521,0.482673
0.5311,0.134896830345801,0.150144217731911,0.416792,0.481509
0.5321,0.139020748472471,0.154751688104624,0.416014,0.480289
0.5331,0.143124927074419,0.159338783419089,0.415186,0.479013
0.5341,0.14720883362478,0.163904951691198,0.414307,0.477679
0.5351,0.151271942853733,0.168449648225048,0.413374,0.476285
